fid,P13_001,P13_002,P13_003,P13_004,P13_005,P13_006,P13_007,P13_008,P13_009,P13_010,radius,_LST_farme,_LST_far_1,_LST_nearm,_LST_nea_1,dif_LST,log10_area
391,大阪府,大阪市,加島中,1,大阪府,大阪市,1976,1013,1,,17.957,43.873956763273746,43.910394439467275,43.973742848463488,43.866967746067786,-0.100,3.006
392,大阪府,大阪市,加島北,1,大阪府,大阪市,1976,3251,1,,32.169,43.493285818045877,43.714088986427271,43.224270629718589,43.380274285036677,0.269,3.512
397,大阪府,大阪市,加島西,1,大阪府,大阪市,1981,1243,1,,19.891,42.560986734054730,43.146486541814227,43.374477343109795,43.386267509194454,-0.813,3.094
398,大阪府,大阪市,加島今之町,1,大阪府,大阪市,1981,1114,2,,18.831,44.005517660195707,43.974137891140202,43.491929906960721,43.459463539560659,0.514,3.047
403,大阪府,大阪市,新加島,1,大阪府,大阪市,1984,2436,2,,27.846,42.748709309648021,42.735417141517189,42.268178761813139,42.265155839859375,0.481,3.387
405,大阪府,大阪市,加島中央,2,大阪府,大阪市,1986,7575,1,,49.104,43.193438391814333,43.214608039890550,42.297203846326902,42.176253263792717,0.896,3.879
407,大阪府,大阪市,加島中住宅前,1,大阪府,大阪市,1989,1122,2,,18.898,42.763511053435941,42.872585818811075,43.045004791706198,43.027346974604598,-0.281,3.050
408,大阪府,大阪市,田川,2,大阪府,大阪市,1993,10489,1,,57.782,42.726649741884181,42.745893047548009,41.084173328218327,40.869061935487139,1.642,4.021
410,大阪府,大阪市,三津屋中央,2,大阪府,大阪市,1994,12882,1,,64.035,43.493952686598192,43.697783389738362,42.096246858097430,42.069826159898184,1.398,4.110
413,大阪府,大阪市,加島南,1,大阪府,大阪市,1998,3409,1,,32.941,42.193369740127856,42.314533710415162,41.103590538826666,41.148087729258243,1.090,3.533
419,大阪府,大阪市,加島駅前,1,大阪府,大阪市,2008,3000,2,,30.902,43.094911058073365,43.087779490646909,42.781912918486192,42.787408545140352,0.313,3.477
395,大阪府,大阪市,田川北,1,大阪府,大阪市,1979,2103,1,,25.873,44.015565445883496,44.031928114884977,43.705767047943027,43.732347834662669,0.310,3.323
393,大阪府,大阪市,田川中,1,大阪府,大阪市,1976,2581,2,,28.663,43.355900066483407,43.768383141081927,43.250508233656078,43.308090799702654,0.105,3.412
386,大阪府,大阪市,田川東,1,大阪府,大阪市,1975,2009,1,,25.288,43.431265686704613,43.576656867116128,43.769557334272875,43.890700287908118,-0.338,3.303
375,大阪府,大阪市,十三東,1,大阪府,大阪市,1956,1186,1,,19.430,43.411523168415371,43.343685512897707,42.894147976490402,42.880975425172608,0.517,3.074
406,大阪府,大阪市,木川西,1,大阪府,大阪市,1986,983,1,,17.689,44.966909513087892,45.080383707148002,45.574864044670669,45.696794265032679,-0.608,2.993
399,大阪府,大阪市,木川南,1,大阪府,大阪市,1982,1298,1,,20.326,43.572679837753483,43.741275587964878,43.756378556703645,43.727107516347928,-0.184,3.113
5106,近畿地方整備局,,淀川河川公園,8,大阪府,大阪市,1975,534000,0,,412.283,39.309092510973429,41.636835557420483,38.153685284926048,38.199782530236973,1.155,5.728
415,大阪府,大阪市,新高中央,2,大阪府,大阪市,2000,17066,1,,73.704,40.172814749530296,41.256891645476514,40.628664185984057,40.651069867404175,-0.456,4.232
387,大阪府,大阪市,野中北,1,大阪府,大阪市,1975,1127,2,,18.940,43.447604132773677,43.459545600069987,43.960183720331685,43.975388628988185,-0.513,3.052
380,大阪府,大阪市,新高,1,大阪府,大阪市,1970,2340,1,,27.292,43.328047262387877,43.576810921956650,43.809200023634666,43.776601637327161,-0.481,3.369
414,大阪府,大阪市,新高東,1,大阪府,大阪市,1999,1000,2,,17.841,40.915899004985931,42.033600358799305,40.968680567691912,41.182946614795355,-0.053,3.000
420,大阪府,大阪市,野中北１,1,大阪府,大阪市,2009,3465,2,,33.211,43.608810547212933,43.516023455522657,43.729223254743843,43.739941062936111,-0.120,3.540
409,大阪府,大阪市,野中南,2,大阪府,大阪市,1993,9540,1,,55.106,43.344988396436285,43.279407329124922,42.348971407925646,42.352498610050986,0.996,3.980
418,大阪府,大阪市,三国駅前,1,大阪府,大阪市,2008,1060,2,,18.369,40.411354975576941,40.581531556731960,40.348090870264237,40.446988539703312,0.063,3.025
404,大阪府,大阪市,三国西,1,大阪府,大阪市,1985,1424,2,,21.290,44.288448519326643,44.787091793258810,44.610607130543336,44.511140836214338,-0.322,3.154
390,大阪府,大阪市,三国,1,大阪府,大阪市,1975,1798,1,,23.923,44.326646571502337,44.377471344056346,44.009531716375477,44.042744496019793,0.317,3.255
382,大阪府,大阪市,三国本町,2,大阪府,大阪市,1971,16172,2,,71.748,43.052449384340989,43.390132995866907,41.652958244203091,41.482078329487592,1.399,4.209
400,大阪府,大阪市,三国中,1,大阪府,大阪市,1983,719,2,,15.128,43.988960149976904,44.235398593700261,44.158603506665251,44.065926749625959,-0.170,2.857
371,大阪府,大阪市,木川,1,大阪府,大阪市,1935,2869,1,,30.220,43.647288862335493,43.756637244437854,43.161285132750479,43.062240690974591,0.486,3.458
416,大阪府,大阪市,宮原,1,大阪府,大阪市,2001,1471,2,,21.639,42.797429575817105,42.654742780478387,42.388768286447643,42.376580834206095,0.409,3.168
411,大阪府,大阪市,木川北,1,大阪府,大阪市,1994,534,1,,13.038,43.866550218607244,44.050290773523493,44.060218680064992,44.088607335795245,-0.194,2.728
389,大阪府,大阪市,東三国西,1,大阪府,大阪市,1975,1257,2,,20.003,43.705821879457673,43.730331540250717,43.106416722130888,43.083401456819274,0.599,3.099
373,大阪府,大阪市,西町,1,大阪府,大阪市,1975,5544,1,,42.008,43.481435597026120,43.557117069159965,42.599152626279484,42.379417954727437,0.882,3.744
388,大阪府,大阪市,北中島,1,大阪府,大阪市,1975,8898,2,,53.220,42.061826542792794,42.200767477147394,41.235177629014217,41.261784644912773,0.827,3.949
396,大阪府,大阪市,東三国東,1,大阪府,大阪市,1981,1653,2,,22.938,43.961639337604574,44.073536394733651,43.980631756993098,44.159744549544769,-0.019,3.218
401,大阪府,大阪市,西中島東,1,大阪府,大阪市,1983,1689,1,,23.187,42.313553613712649,42.399210201783546,42.397645006830615,42.544754036009699,-0.084,3.228
461,大阪府,大阪市,山口本町,1,大阪府,大阪市,1977,1439,2,,21.402,42.760143701889895,42.624279412970509,42.506107305321358,42.520962763414587,0.254,3.158
448,大阪府,大阪市,日之出,1,大阪府,大阪市,1970,8010,1,,50.494,43.477809358492600,43.437590369129566,42.926193730667229,43.025152244234846,0.552,3.904
467,大阪府,大阪市,日之出北,1,大阪府,大阪市,1980,1248,1,,19.931,43.822538380977640,43.807782076858707,43.398044263489183,43.513423524846672,0.424,3.096
465,大阪府,大阪市,南方南,1,大阪府,大阪市,1979,1633,1,,22.799,43.520704483259721,43.589883291047357,43.439798542980007,43.315658121159288,0.081,3.213
462,大阪府,大阪市,南方北,1,大阪府,大阪市,1977,474,2,,12.283,43.897504386938273,43.977582565944033,44.119089311813497,44.127531414039623,-0.222,2.676
466,大阪府,大阪市,新駅２号,1,大阪府,大阪市,1979,3985,1,,35.616,43.375128351381939,43.521422331876721,43.238200839313933,43.267146505180222,0.137,3.600
472,大阪府,大阪市,日之出南,1,大阪府,大阪市,1986,2194,2,,26.427,43.652980312013256,43.686620714813046,43.519201103128594,43.592301645424470,0.134,3.341
454,大阪府,大阪市,南方,1,大阪府,大阪市,1974,2891,1,,30.335,43.518119479974899,43.998779985955309,43.454625750400538,43.382628421179447,0.063,3.461
394,大阪府,大阪市,三津屋東,1,大阪府,大阪市,1978,2425,1,,27.783,44.622773348722824,44.515544790414538,44.395024475182389,44.396843322379368,0.228,3.385
417,大阪府,大阪市,十八条中央,2,大阪府,大阪市,2007,15000,1,,69.099,43.414606982388115,43.655514461628286,43.122719301617089,43.340877001674528,0.292,4.176
385,大阪府,大阪市,十八条西,1,大阪府,大阪市,1974,1212,1,,19.642,44.945308699382743,45.230417370746387,45.476342051984901,45.534487492652147,-0.531,3.084
383,大阪府,大阪市,十八条東,3,大阪府,大阪市,1971,34802,2,,105.251,41.836805950651375,42.018997011026784,41.231230127400757,40.906268991784032,0.606,4.542
597,大阪府,大阪市,森小路南,1,大阪府,大阪市,1984,491,2,,12.502,45.555790889368438,45.576773381791213,45.199466132268910,45.134182800629389,0.356,2.691
588,大阪府,大阪市,森小路,1,大阪府,大阪市,1975,1437,2,,21.387,45.486260678312590,45.537522896984989,45.102419460092733,45.061914458848946,0.384,3.157
598,大阪府,大阪市,森小路東,1,大阪府,大阪市,1986,437,2,,11.794,45.160395176741517,45.133932370642299,45.385777897753115,45.309428324902001,-0.225,2.640
575,大阪府,大阪市,千林,1,大阪府,大阪市,1956,1483,1,,21.727,45.342832207378301,45.253601964313077,44.987065685162648,44.863848717260680,0.356,3.171
573,大阪府,大阪市,新森北,1,大阪府,大阪市,1944,2197,1,,26.445,45.494923160629916,45.564051401044111,45.070495830443605,45.047323075988118,0.424,3.342
579,大阪府,大阪市,清水北,1,大阪府,大阪市,1962,649,2,,14.373,45.777742896034951,45.846705639258687,46.354648170923589,46.349768855788199,-0.577,2.812
576,大阪府,大阪市,清水南,1,大阪府,大阪市,1957,1923,1,,24.741,45.782091783588506,45.807568945015191,45.770023238280615,45.752992095704911,0.012,3.284
584,大阪府,大阪市,清水小,1,大阪府,大阪市,1970,493,2,,12.527,46.019736053699347,45.879142555413829,46.015244312312603,45.953444372970353,0.004,2.693
578,大阪府,大阪市,清水中,1,大阪府,大阪市,1960,1835,1,,24.168,45.287099163803262,45.341303101977871,44.374435841974659,44.369941635439709,0.913,3.264
601,大阪府,大阪市,中宮１,1,大阪府,大阪市,1999,1000,2,,17.841,44.741897945165022,44.581912342237672,44.146098173558798,44.206968703384945,0.596,3.000
570,大阪府,大阪市,江野,1,大阪府,大阪市,1937,5778,1,,42.886,45.634765556418230,45.768524860285424,44.192668713234610,44.219389782007312,1.442,3.762
586,大阪府,大阪市,大宮南,1,大阪府,大阪市,1971,993,1,,17.779,45.533921875849003,45.874821975724615,45.694580559503819,45.757895363653915,-0.161,2.997
571,大阪府,大阪市,大宮中,1,大阪府,大阪市,1940,3404,1,,32.917,45.869167580361818,45.887217304069424,45.166460348684566,45.078146902802047,0.703,3.532
481,大阪府,大阪市,大道,1,大阪府,大阪市,2002,1200,1,,19.544,44.192819589424367,44.333359989249232,44.896301993140625,44.874573901597529,-0.703,3.079
426,大阪府,大阪市,大隅,1,大阪府,大阪市,1958,3080,1,,31.311,43.874335254595003,43.916028908748871,43.765784008848449,43.742723377533515,0.109,3.489
582,大阪府,大阪市,太子橋南,1,大阪府,大阪市,1968,1994,1,,25.193,43.737279222229461,43.736522195839797,43.440198664782379,43.404456894667391,0.297,3.300
464,大阪府,大阪市,南江口北,1,大阪府,大阪市,1978,915,1,,17.066,42.528310885478987,42.485351037674093,42.406921220205106,42.410710701646678,0.121,2.961
479,大阪府,大阪市,大道南,1,大阪府,大阪市,1999,1550,2,,22.212,41.975311934157219,43.652278922116949,44.032189361968200,44.054021021640317,-2.057,3.190
458,大阪府,大阪市,東大道,1,大阪府,大阪市,1976,2177,2,,26.324,41.716880707992061,42.528675614204701,42.661289184734912,42.692001728698749,-0.944,3.338
577,大阪府,大阪市,太子橋西,1,大阪府,大阪市,1960,1032,1,,18.124,41.533393145137062,42.319876260491526,42.253995267426021,42.255795250946562,-0.721,3.014
449,大阪府,大阪市,南江口,1,大阪府,大阪市,1970,1906,1,,24.631,42.674289488008547,43.402863343807496,43.020112823981833,43.153242006101351,-0.346,3.280
589,大阪府,大阪市,今市,1,大阪府,大阪市,1975,552,2,,13.255,45.418760488712799,45.469899097666371,45.733225788366227,45.731651378762649,-0.314,2.742
580,大阪府,大阪市,太子橋中,2,大阪府,大阪市,1963,15361,1,,69.925,40.252835919757118,40.812626537427946,40.418952004773764,40.389736710484613,-0.166,4.186
587,大阪府,大阪市,太子橋東,1,大阪府,大阪市,1972,819,2,,16.146,42.425733238678326,43.082671737958663,43.592461716301067,43.459571342053955,-1.167,2.913
5110,近畿地方整備局,,淀川河川公園,8,大阪府,守口市,1973,249000,0,,281.530,39.084349583911447,41.385147319184341,35.569858600041833,34.824064435193151,3.514,5.396
431,大阪府,大阪市,須賀森,1,大阪府,大阪市,1964,2786,2,,29.779,43.513554869926757,43.892667313230135,43.791247533948535,43.786190730538522,-0.278,3.445
478,大阪府,大阪市,日之出東,1,大阪府,大阪市,1997,426,2,,11.645,43.715247399068026,43.822685604747278,43.469509437937525,43.526841062696178,0.246,2.629
468,大阪府,大阪市,西淡路,1,大阪府,大阪市,1980,3722,1,,34.420,44.259794109221069,44.414973892020896,43.948494214814957,43.920410278982416,0.311,3.571
453,大阪府,大阪市,飛鳥町,1,大阪府,大阪市,1971,3591,2,,33.809,42.538765702880987,42.526339246905025,42.676939061458569,42.595677380427873,-0.138,3.555
435,大阪府,大阪市,豊里中央,2,大阪府,大阪市,1968,18146,1,,76.000,42.910140384455296,42.989222355487669,42.008625229425462,42.056306094354909,0.902,4.259
459,大阪府,大阪市,三宝寺西,1,大阪府,大阪市,1976,469,2,,12.218,44.350648125179383,44.347708737942753,44.404127028966464,44.358060022424297,-0.053,2.671
476,大阪府,大阪市,井高野南,1,大阪府,大阪市,1991,5378,1,,41.375,40.568329194730651,41.438794435786122,40.190438701613523,40.368284473389963,0.378,3.731
443,大阪府,大阪市,今在家,1,大阪府,大阪市,1968,2586,2,,28.691,45.312788241884917,45.350707825240363,45.397751888555675,45.465486982041057,-0.085,3.413
463,大阪府,大阪市,井高野,2,大阪府,大阪市,1978,11945,1,,61.662,41.027176405036307,42.048420565311403,41.285682512907051,41.293350169491930,-0.259,4.077
473,大阪府,大阪市,北江口中央,2,大阪府,大阪市,1989,12326,1,,62.638,41.544020463625237,41.374248194585704,41.365874854558214,41.363766417425154,0.178,4.091
446,大阪府,大阪市,野村,1,大阪府,大阪市,1969,1333,2,,20.599,39.678953837144626,40.417720180355559,40.921112625049545,41.068993805188938,-1.242,3.125
603,大阪府,大阪市,大宮ふれあい,1,大阪府,大阪市,2003,2701,2,,29.322,45.438129638188222,45.421498728201499,45.060248477315859,45.009090948639653,0.378,3.432
457,大阪府,大阪市,北江口,1,大阪府,大阪市,1976,2396,1,,27.616,41.688853029065861,41.410362490638221,41.541879341494699,41.809414068429732,0.147,3.379
456,大阪府,大阪市,大桐,1,大阪府,大阪市,1975,1686,2,,23.166,44.364030370594342,44.535922373535186,44.259307902910798,44.205174866886978,0.105,3.227
590,大阪府,大阪市,大宮北,1,大阪府,大阪市,1976,1412,2,,21.200,41.241469467474587,42.112897300750546,41.654671332738801,41.820314961136773,-0.413,3.150
452,大阪府,大阪市,能條,1,大阪府,大阪市,1971,1246,2,,19.915,44.142567503261091,44.144236319406531,44.155069140606734,44.189909312161085,-0.013,3.096
482,大阪府,大阪市,瑞光４,1,大阪府,大阪市,2002,979,2,,17.653,44.749752385490218,44.854672299208687,45.060470445727880,45.134998887377066,-0.311,2.991
484,大阪府,大阪市,大道北,1,大阪府,大阪市,2003,1500,2,,21.851,43.921650835430306,44.103952016801031,43.883179262304829,44.007496358720061,0.038,3.176
474,大阪府,大阪市,竹間,1,大阪府,大阪市,1990,2500,2,,28.209,43.177889110517000,43.670509947584776,43.905898078215969,43.794858401927513,-0.728,3.398
475,大阪府,大阪市,能条東,1,大阪府,大阪市,1991,1500,2,,21.851,44.379476442449750,44.406163958126115,44.245034548762803,44.177902197046883,0.134,3.176
471,大阪府,大阪市,大隅東,1,大阪府,大阪市,1983,470,2,,12.231,44.858362910626155,44.953264897695163,45.171435117916062,45.196626728640979,-0.313,2.672
434,大阪府,大阪市,柴島東,1,大阪府,大阪市,1966,661,1,,14.505,41.776768296719723,43.117706010846859,43.554973824394708,43.788219136076243,-1.778,2.820
432,大阪府,大阪市,柴島西,1,大阪府,大阪市,1964,661,1,,14.505,43.247401367379446,43.354444891636547,43.949240724823547,44.142036184140061,-0.702,2.820
470,大阪府,大阪市,東淡路南,1,大阪府,大阪市,1983,2217,1,,26.565,42.442600982405985,42.477486650535496,42.472252910262299,42.421811588444427,-0.030,3.346
477,大阪府,大阪市,淡路２,1,大阪府,大阪市,1993,1744,1,,23.561,43.935381132904055,44.024575793682772,43.255493577902442,43.267186033512672,0.680,3.242
439,大阪府,大阪市,三番,1,大阪府,大阪市,1968,3011,2,,30.959,41.497651728235162,42.534474187720491,41.863595915412830,41.940913460572403,-0.366,3.479
483,大阪府,大阪市,淡路３,1,大阪府,大阪市,2002,5422,2,,41.544,43.721609505977248,43.674546374404827,43.313536995758035,43.248620038599029,0.408,3.734
469,大阪府,大阪市,和合,1,大阪府,大阪市,1983,722,2,,15.160,43.837202816375502,43.883755529234662,43.896317513761772,43.935090024258159,-0.059,2.859
451,大阪府,大阪市,菅原天満宮,1,大阪府,大阪市,1970,2819,2,,29.955,44.209948490945713,44.302423085947595,43.802278070784723,43.779698458377538,0.408,3.450
429,大阪府,大阪市,菅原西,1,大阪府,大阪市,1963,770,2,,15.656,43.524243924253454,43.407652673368943,42.759666891629749,42.335539338593605,0.765,2.886
444,大阪府,大阪市,東淡路町,1,大阪府,大阪市,1968,4761,1,,38.929,43.564673406302077,43.613854993230632,42.850681408317421,42.917436955906737,0.714,3.678
440,大阪府,大阪市,北淀,1,大阪府,大阪市,1968,5333,2,,41.201,43.467417716047855,43.411647524477814,42.776137143298151,42.727933125329365,0.691,3.727
427,大阪府,大阪市,菅原,1,大阪府,大阪市,1958,3679,2,,34.221,43.934533506029496,43.921144490339003,43.722618574198080,43.647321957303063,0.212,3.566
441,大阪府,大阪市,菅原東,1,大阪府,大阪市,1968,1884,1,,24.489,44.138827810775709,44.288962023813099,43.244499849699061,43.250217704833915,0.894,3.275
480,大阪府,大阪市,淡路４,1,大阪府,大阪市,2001,844,2,,16.391,44.094734458558023,44.083730668905417,44.032654497266215,44.054030985096233,0.062,2.926
438,大阪府,大阪市,豊里三角,1,大阪府,大阪市,1968,1992,2,,25.181,44.399237375455925,44.376859350786901,44.535646228349066,44.506366671007363,-0.136,3.299
455,大阪府,大阪市,豊北,1,大阪府,大阪市,1975,980,2,,17.662,44.483480061985397,44.453983891530072,44.624486326067903,44.653045594072523,-0.141,2.991
433,大阪府,大阪市,菅原北,1,大阪府,大阪市,1966,1993,2,,25.187,44.255144995946829,44.249525577558693,44.224909257329983,44.134106488436430,0.030,3.300
422,大阪府,大阪市,淡路,1,大阪府,大阪市,1938,2267,1,,26.863,44.507224022985142,44.514843746997997,44.488272983883633,44.479344299855995,0.019,3.355
445,大阪府,大阪市,多幸,1,大阪府,大阪市,1969,4100,2,,36.126,44.442925943080155,44.430920195455315,43.776008470843365,43.646139395690227,0.667,3.613
485,大阪府,大阪市,下新庄南,1,大阪府,大阪市,2007,455,1,,12.035,44.082761007822931,44.267277345150035,44.301931413029266,44.481928330649389,-0.219,2.658
442,大阪府,大阪市,六原,1,大阪府,大阪市,1968,1988,2,,25.156,44.565783091782073,44.521742130630997,44.353700210690903,44.341287294897711,0.212,3.298
423,大阪府,大阪市,鳩ヶ瀬,1,大阪府,大阪市,1941,3335,1,,32.582,44.051916991573741,44.128995552149547,43.731215280080434,43.798402346869921,0.321,3.523
450,大阪府,大阪市,かぶと,1,大阪府,大阪市,1970,4605,2,,38.286,44.418019791680749,44.437516033625599,43.646985578612501,43.535932146444623,0.771,3.663
437,大阪府,大阪市,豊里さつき,1,大阪府,大阪市,1968,2493,2,,28.170,44.909630136221686,44.908126510777322,45.272515189223832,45.286322561671454,-0.363,3.397
447,大阪府,大阪市,下新庄小,1,大阪府,大阪市,1969,330,2,,10.249,43.823233153326527,43.848819736550809,43.160079407703186,43.169028276241136,0.663,2.519
428,大阪府,大阪市,下新庄北,1,大阪府,大阪市,1959,4677,1,,38.584,44.071001840437873,44.188626161890454,43.767290211342541,43.801473009993344,0.304,3.670
430,大阪府,大阪市,下新庄,1,大阪府,大阪市,1963,2996,1,,30.881,44.031450871887202,44.074263153240850,44.074046574511584,44.091130254034454,-0.043,3.477
460,大阪府,大阪市,新庄,1,大阪府,大阪市,1977,862,2,,16.565,43.053421279856849,42.986510432544065,42.743715381607487,42.738649590035408,0.310,2.936
436,大阪府,大阪市,大門,1,大阪府,大阪市,1968,1348,2,,20.714,44.129090049159451,44.098858252156447,44.006310651354688,44.050039837653969,0.123,3.130
421,大阪府,大阪市,瑞光寺,2,大阪府,大阪市,1935,10092,1,,56.678,43.693417996503015,43.722014873176995,42.789965149831907,42.809985034938336,0.903,4.004
425,大阪府,大阪市,小松,1,大阪府,大阪市,1944,1914,1,,24.683,43.742856162402873,43.824541364228935,44.189610586696851,44.206606111040685,-0.447,3.282
424,大阪府,大阪市,松山,1,大阪府,大阪市,1942,2853,1,,30.135,43.803287011786679,43.787357216053351,43.269876916932390,43.270116027104024,0.533,3.455
574,大阪府,大阪市,新森南,1,大阪府,大阪市,1950,2352,1,,27.362,44.461319556180655,44.363561391656503,43.902259612626914,43.729788772560603,0.559,3.371
610,大阪府,大阪市,北関目,1,大阪府,大阪市,1942,5676,2,,42.506,44.482090447645469,44.607477528218404,43.916183777899946,43.946442845317819,0.566,3.754
596,大阪府,大阪市,新森南小,1,大阪府,大阪市,1984,496,2,,12.565,44.794505662493904,44.582492969442825,44.836611845668017,44.790093818761619,-0.042,2.695
639,大阪府,大阪市,古市北,1,大阪府,大阪市,1982,1284,2,,20.217,45.230113071251637,45.527130249730931,45.908578204372802,46.028011119696259,-0.678,3.109
568,大阪府,大阪市,新森中央,1,大阪府,大阪市,1932,8809,1,,52.953,45.778175606103609,45.905886119024785,44.487667706942439,44.367120916053835,1.291,3.945
620,大阪府,大阪市,古市西北,1,大阪府,大阪市,1961,4802,1,,39.096,45.360500166663201,45.446552215566619,44.944421520950051,44.829245378145089,0.416,3.681
581,大阪府,大阪市,新森東,1,大阪府,大阪市,1963,2475,1,,28.068,45.554328126855587,45.574402981775904,44.658056103085606,44.621551257891149,0.896,3.394
585,大阪府,大阪市,両国町,1,大阪府,大阪市,1971,1333,1,,20.599,46.425133073711649,46.428647840568743,46.050834444115466,45.804680018932345,0.374,3.125
628,大阪府,大阪市,西今福,1,大阪府,大阪市,1971,861,1,,16.555,45.492519920139799,45.719405775083374,45.391617721115466,45.495582250131150,0.101,2.935
617,大阪府,大阪市,南関目,1,大阪府,大阪市,1958,5676,2,,42.506,45.514299767897846,45.498143147713023,45.224846425926742,45.260236132960273,0.289,3.754
647,大阪府,大阪市,中今福,1,大阪府,大阪市,1989,1147,2,,19.108,45.672702465648015,45.858339765480139,46.464049060871758,46.230819703193930,-0.791,3.060
648,大阪府,大阪市,鯰江南,1,大阪府,大阪市,1997,1796,1,,23.910,44.431257248415115,44.345151122044768,43.899048576060821,43.972100113579302,0.532,3.254
608,大阪府,大阪市,鯰江,2,大阪府,大阪市,1939,11778,1,,61.230,44.108554059895589,43.996799302283904,43.771145796066953,43.804164454043018,0.337,4.071
649,大阪府,大阪市,今福南中央,1,大阪府,大阪市,1998,439,2,,11.821,44.944631171313723,44.930530298011320,46.001083811280232,46.430709173355410,-1.056,2.642
651,大阪府,大阪市,鯰江東,1,大阪府,大阪市,2002,2535,2,,28.406,43.969468324389936,43.985420658415421,43.677344148290679,43.754295328194019,0.292,3.404
646,大阪府,大阪市,南今福北,1,大阪府,大阪市,1987,1626,2,,22.750,43.636736608391729,43.712900903872679,43.863781521503043,43.969941747628866,-0.227,3.211
614,大阪府,大阪市,南今福,1,大阪府,大阪市,1944,4449,1,,37.632,44.050439988541115,44.044349241537901,43.506464620959875,43.384140140153136,0.544,3.648
621,大阪府,大阪市,東今福,1,大阪府,大阪市,1961,6651,1,,46.012,44.958808762934432,44.886430208504684,43.924799377260214,43.833396238508385,1.034,3.823
606,大阪府,大阪市,関目中央,1,大阪府,大阪市,1930,2813,2,,29.923,45.126907125231831,45.073047352222211,45.000621198422962,45.012955912023813,0.126,3.449
618,大阪府,大阪市,古市中,1,大阪府,大阪市,1958,6348,1,,44.951,44.329639274777350,44.165660197322588,43.347108465616522,43.294470450775208,0.983,3.803
619,大阪府,大阪市,永田,1,大阪府,大阪市,1960,3532,1,,33.530,45.438156472275864,45.398846991013869,45.230805980630734,45.199104038879682,0.207,3.548
652,大阪府,大阪市,鴫野東２,1,大阪府,大阪市,2003,1010,2,,17.930,45.143815455157551,45.092973055967285,45.067803734014070,45.092973055967285,0.076,3.004
643,大阪府,大阪市,新喜多東中央,1,大阪府,大阪市,1986,1095,2,,18.669,43.826818969234957,44.023403498583690,43.976981244791595,44.033342545813611,-0.150,3.039
615,大阪府,大阪市,東中浜,1,大阪府,大阪市,1948,9799,2,,55.849,46.251634184757123,46.203215144382511,45.384796756880746,45.396784495884283,0.867,3.991
506,大阪府,大阪市,千間川みどり,1,大阪府,大阪市,1990,2009,1,,25.288,46.251634184757123,46.203215144382511,45.384796756880746,45.396784495884283,0.867,3.303
633,大阪府,大阪市,新喜多東,1,大阪府,大阪市,1978,1109,1,,18.788,44.160337054200689,44.230130943860956,43.943545208243464,43.899314077638905,0.217,3.045
622,大阪府,大阪市,天王田,1,大阪府,大阪市,1962,4280,1,,36.910,44.373422822431792,44.114133989860136,43.676975182604835,43.434582678699435,0.696,3.631
627,大阪府,大阪市,天王田楠根,1,大阪府,大阪市,1970,2800,1,,29.854,44.055967304734303,43.979695655445880,43.740248021039392,43.646935137654793,0.316,3.447
653,大阪府,大阪市,今福南古堤,1,大阪府,大阪市,2003,615,2,,13.991,43.287537255944223,43.340883567302853,42.226724266193614,42.543768642986407,1.061,2.789
641,大阪府,大阪市,専永,1,大阪府,大阪市,1985,589,2,,13.692,43.984242507097392,43.833384935275973,44.188542916698552,44.078643116404265,-0.204,2.770
613,大阪府,大阪市,左専道,1,大阪府,大阪市,1943,9282,1,,54.356,43.524235718789726,43.403339674018355,42.778630439976375,42.749128780495880,0.746,3.968
625,大阪府,大阪市,西放出,1,大阪府,大阪市,1967,8854,1,,53.088,45.537803187046023,45.640702995516051,44.335226713667801,44.156131789935642,1.203,3.947
640,大阪府,大阪市,放出西三,1,大阪府,大阪市,1984,1001,2,,17.850,44.525896647157907,44.691915200822059,44.599950404735786,44.784058712178648,-0.074,3.000
