fid,P13_001,P13_002,P13_003,P13_004,P13_005,P13_006,P13_007,P13_008,P13_009,P13_010,radius,_LST_farme,_LST_far_1,_LST_nearm,_LST_nea_1,dif_LST,log10_area
1568,大阪府,堺市,百舌鳥西之町城之下公園,1,大阪府,堺市,2001,1020,2,,18.019,44.113127322998253,44.414278587670822,44.655325968818069,44.699570188850799,-0.542,3.009
1085,大阪府,堺市,百舌鳥西之町公園,1,大阪府,堺市,1976,514,2,,12.791,44.259497342275075,44.380441250353726,44.264530066597523,44.292670815790643,-0.005,2.711
1126,大阪府,堺市,陵南中央（百舌鳥陵南町第２）公園,2,大阪府,堺市,1979,13361,1,,65.215,43.861774849482487,44.116662363634845,41.601560893981123,41.389414180441975,2.260,4.126
1571,大阪府,堺市,御陵山公園,9,大阪府,堺市,2001,15852,1,,71.034,40.662042350734040,42.436132926948574,38.809346708571141,38.579053318906091,1.853,4.200
1007,大阪府,堺市,梅北公園,1,大阪府,堺市,1965,918,1,,17.094,45.413383953108422,45.578884272389757,45.557847369429382,45.661476455221418,-0.144,2.963
1105,大阪府,堺市,百舌鳥梅町第２公園,1,大阪府,堺市,1977,160,2,,7.136,43.537736204720879,43.779729502353575,43.565065948498933,43.538028362340185,-0.027,2.204
1096,大阪府,堺市,仁山田公園,1,大阪府,堺市,1977,2195,1,,26.433,40.473525789427512,41.420479131825573,39.109245994890657,39.009361262575794,1.364,3.341
1431,大阪府,堺市,梅寿公園,1,大阪府,堺市,1986,1000,2,,17.841,44.687592637237671,44.580560960127002,44.614770810459376,44.589232883825503,0.073,3.000
1022,大阪府,堺市,城の山公園,1,大阪府,堺市,1972,4170,1,,36.433,44.457224768342307,44.481027277000635,44.190541198612891,44.189453600964107,0.267,3.620
1543,大阪府,堺市,向陵東町ぶどう公園,1,大阪府,堺市,1997,367,2,,10.808,44.146481183488675,44.484568500462615,43.699727036379393,43.694007661054769,0.447,2.565
1061,大阪府,堺市,梅町公園,1,大阪府,堺市,1975,6138,1,,44.202,44.760946207545622,44.706480070243970,44.413338328790246,44.413721803012010,0.348,3.788
1430,大阪府,堺市,金口公園,1,大阪府,堺市,1986,1061,2,,18.377,43.499781589329515,43.620444418487182,43.527698898170634,43.583781347223095,-0.028,3.026
1591,大阪府,堺市,黒土みのんだ公園,1,大阪府,堺市,2006,1100,2,,18.712,44.813432056578463,44.946882059078945,45.657518747428561,45.664872874201961,-0.844,3.041
