fold,train_size,test_size,linear_r2,linear_rmse,linear_mae,rf_r2,rf_rmse,rf_mae
1,80284,19716,0.29924861792580115,1.9291254826792115,1.5258260396973309,0.487977231195587,1.6490094073951065,1.2902336190592996
2,79743,20257,0.5644413121276501,1.9527537610293457,1.4615670479048375,0.6423422508639061,1.7695301309552454,1.311133780892983
3,80027,19973,0.5062484962386866,1.999567878067948,1.472389284833384,0.6334444617947543,1.7228673015135942,1.2896970941070083
4,79730,20270,0.5499571231113818,1.8042191106325176,1.3393295180449143,0.6363292491598584,1.6218717868034707,1.2100771294439994
5,80216,19784,0.531178959521003,1.8950499233874822,1.4201023634785028,0.6159699473143458,1.7151405479800241,1.286786246891175
