date,observation_datetime_utc,scene_index,cloud_cover,scene_covers_roi,scene_coverage_ratio,export_requested,export_eligible,export_reason,exported,lst_drive_folder,indices_drive_folder,lst_export_description,indices_export_description,lst_total_pixels,lst_valid_pixels,lst_valid_pixel_ratio,lst_mean_temp_c,lst_min_temp_c,lst_max_temp_c,lst_std_temp_c,indices_valid_pixel_ratio,ndvi_mean,ndvi_min,ndvi_max,ndvi_std,ndbi_mean,ndbi_min,ndbi_max,ndbi_std,ndwi_mean,ndwi_min,ndwi_max,ndwi_std
2023-01-05,2023-01-05T03:17:38,LC08_126045_20230105,98.13,False,0.009340830889155879,False,False,scene_does_not_cover_roi|lst_valid_ratio_below_threshold|indices_valid_ratio_below_threshold,False,,,,,35009.0,0.0,0.0,,,,,0.0,,,,,,,,,,,,
2023-01-12,2023-01-12T03:23:46,LC08_127045_20230112,90.12,False,0.9335223844169765,False,False,scene_does_not_cover_roi|lst_valid_ratio_below_threshold|indices_valid_ratio_below_threshold,False,,,,,3480024.0,0.0,0.0,,,,,0.0,,,,,,,,,,,,
2023-01-12,2023-01-12T03:24:10,LC08_127046_20230112,66.39,False,0.5279516286716165,False,False,scene_does_not_cover_roi|lst_valid_ratio_below_threshold|indices_valid_ratio_below_threshold,False,,,,,1969006.0,67574.0,3.4318839048738297,20.57233602471009,16.809367487867064,43.56353410315194,1.4193368668069524,2.598316104674135,0.47828845466251874,-0.5392225252076863,0.9998016922263354,0.21161979955133772,-0.22048024580075398,-0.8886505808757817,0.3639377071736824,0.15029256438762825,-0.38799286814040235,-0.9928402022642858,0.6273548387096772,0.18884075091404173
2023-01-21,2023-01-21T03:17:33,LC08_126045_20230121,50.19,False,0.0081046706575457,False,False,scene_does_not_cover_roi,False,,,,,30388.0,29703.0,97.74582071870476,22.514518087531357,18.447885715554094,27.594853810615064,1.2559686739277884,97.74582071870476,0.4213305098516157,-0.282142664290728,0.816274396797458,0.18387785435099308,-0.1722433487783545,-0.7351165330640677,0.24963723953798833,0.1399555489446584,-0.38700501757498335,-0.6923769226442336,0.6000240695610313,0.19113942496346725
2023-01-21,2023-01-21T03:17:57,LC08_126046_20230121,32.7,False,0.0349205957737789,False,False,scene_does_not_cover_roi,False,,,,,130743.0,127666.0,97.64652792118889,22.21663635392611,18.072975548206784,30.244248293416035,1.3817626523936855,97.64652792118889,0.3340336920321687,-0.521816961288879,0.8349122645655128,0.19784945243260169,-0.20682694013806247,-0.870371352785146,0.3084684549114029,0.17406100080627174,-0.3104390327191569,-0.6870185697272044,0.8279665110288198,0.19415543723524972
2023-02-13,2023-02-13T03:23:42,LC08_127045_20230213,27.99,False,0.9392590858276184,False,False,scene_does_not_cover_roi|lst_valid_ratio_below_threshold|indices_valid_ratio_below_threshold,False,,,,,3501388.0,1716143.0,49.013219900222424,27.750850415160496,20.366641800574087,43.671698270182674,1.499956943577022,41.759896361100225,0.317746778727765,-0.9593984962406027,0.9999087494106733,0.17114058426796502,-0.15846477373378978,-0.8466776283973307,0.9858880048040843,0.1626203334007263,-0.2759828087947208,-0.999887779149366,0.9895729339988913,0.14275491516189687
2023-02-13,2023-02-13T03:24:06,LC08_127046_20230213,28.58,False,0.5143947911156771,False,False,scene_does_not_cover_roi|lst_valid_ratio_below_threshold|indices_valid_ratio_below_threshold,False,,,,,1918410.0,593356.0,30.92957188505064,28.086856054265528,21.24670879744707,57.4800958779166,1.1524147524336532,24.990330534140252,0.291389180946983,-0.3119319421217189,0.9996267960440384,0.1599331129253055,-0.19476809201256934,-0.7679783372702655,0.3619956240212357,0.17658870492643494,-0.2503828167666867,-0.8755982451475672,0.7643912490683505,0.1276940522143621
2023-02-22,2023-02-22T03:17:21,LC08_126045_20230222,86.24,False,0.009271495800718501,False,False,scene_does_not_cover_roi|lst_valid_ratio_below_threshold|indices_valid_ratio_below_threshold,False,,,,,34756.0,0.0,0.0,,,,,0.0,,,,,,,,,,,,
2023-02-22,2023-02-22T03:17:45,LC08_126046_20230222,52.72,False,0.03859213579025252,False,False,scene_does_not_cover_roi|lst_valid_ratio_below_threshold|indices_valid_ratio_below_threshold,False,,,,,144528.0,0.0,0.0,,,,,0.0,,,,,,,,,,,,
2023-03-01,2023-03-01T03:23:28,LC08_127045_20230301,98.82,False,0.9340952616423736,False,False,scene_does_not_cover_roi|lst_valid_ratio_below_threshold|indices_valid_ratio_below_threshold,False,,,,,3482161.0,0.0,0.0,,,,,0.0,,,,,,,,,,,,
