fold,train_size,test_size,linear_r2,linear_rmse,linear_mae,rf_r2,rf_rmse,rf_mae
1,79708,20292,0.43573549063151484,1.749076904361749,1.3354789235773397,0.6838594023621782,1.309205052127675,0.9777270703519977
2,80013,19987,0.4167470315535019,1.5826334663829806,1.090494189303668,0.6964597063689845,1.1417211364639055,0.8512173243789873
3,80126,19874,0.5600849123917527,1.3507723664759541,1.026366279933748,0.6716260646139263,1.1670301545465078,0.8668880765684642
4,80025,19975,0.5774439710412913,1.3764668701572322,1.037213533966961,0.6757159288011267,1.205830931470014,0.8986157187305891
5,80128,19872,0.47461607506911674,1.3453630012433275,0.9850898751876521,0.6518272683788899,1.095212689633228,0.828318294845776
