fold,train_size,test_size,linear_r2,linear_rmse,linear_mae,rf_r2,rf_rmse,rf_mae
1,80000,20000,0.4486501216888428,1.8961785459792049,1.3866617679595947,0.6203164876928916,1.573535163794277,1.113105082347196
2,80000,20000,0.4422200322151184,1.8729357482594415,1.36555016040802,0.5917182991452523,1.6024016172352393,1.1598592773226428
3,80000,20000,0.4479965567588806,1.8819923989104963,1.389468789100647,0.5829517748261299,1.635837238414932,1.169330920050278
4,80000,20000,0.5218551158905029,1.7155145189187329,1.2941324710845947,0.6806998717711079,1.4018907992905887,1.0460874608110025
5,80000,20000,0.5228931903839111,1.6979949402660743,1.2864919900894165,0.6727674790537144,1.4062315333419309,1.0536835816115127
