feature,linear_abs_standardized_coefficient,random_forest_importance,permutation_importance,vif
BUILD_COV,0.08165978640317917,0.0010928469155830056,8.341670779112852e-05,3.8654320728812452
BUILD_DEN,0.030468463897705078,0.0012852191011997608,0.00027477187250691816,3.961056214542605
BUILD_H_MEAN,0.06899596005678177,0.0034107209334294517,0.001610698650962572,49.658477676615796
BUILD_H_MAX,0.08799724280834198,0.0033141853630486813,0.0015482183559346386,57.86005062732358
ROAD_DEN,0.028475910425186157,0.004606438377967589,0.0010972905425795543,1.296502032012995
ELEV_MEAN,0.17892161011695862,0.05419755541553837,0.08281681513215229,1.7903779071256487
POP_DEN_LANDSCAN2023,0.04118848592042923,0.03292846680353821,0.038833415736107504,1.437361300104273
NTL_MEAN,0.14547020196914673,0.044353368311524456,0.05265815424391793,1.5869349555168288
NDVI,0.6016588807106018,0.11198620435632835,0.17345098983950202,25.365181645139977
NDBI,0.2433794140815735,0.1531125819914211,0.28796819926070344,2.345496381981753
NDWI,0.6098738312721252,0.04510316065383889,0.05118680905043641,27.04641535227434
LULC_WATER_COV,0.15200263261795044,0.028690085082948107,0.024448994685578172,1.7288256873170933
LULC_TREE_COV,0.11914797872304916,0.0017648377861383467,0.001876913031938554,2.0328309420584607
LULC_BUILT_COV,0.27230924367904663,0.5127321733852545,0.1659676259741712,3.1462892193395
LULC_RANGE_COV,0.014769659377634525,0.0003849040565518669,0.00013302064478948328,1.011692718559477
LULC_WETLAND_COV,0.048296160995960236,0.0010372514656893858,0.0006452162615780188,1.0442208160315365
