fold,train_size,test_size,linear_r2,linear_rmse,linear_mae,rf_r2,rf_rmse,rf_mae
1,79998,20002,0.7182185544769714,0.9741018058759703,0.7446264214296906,0.7944835150103553,0.8319006887380335,0.6374336816516758
2,80002,19998,0.733928725064263,0.9740614504087802,0.7430294506390337,0.8040085512329794,0.8359993163347322,0.6352094436200982
3,80002,19998,0.7927331420463377,0.9811748586014678,0.751989768069866,0.8465053384529423,0.8443609061586507,0.6420363020622831
4,79998,20002,0.7902660691984795,0.9779504943374585,0.7194911554027568,0.8415081121186374,0.8501313692344487,0.6400012838532064
5,80000,20000,0.7870841760669225,0.8975592572494944,0.6932013185924788,0.8462867975383981,0.7626315115731566,0.5844835499199472
