feature,linear_abs_standardized_coefficient,random_forest_importance,permutation_importance,vif
BUILD_COV,0.20232254266738892,0.03663157406250919,0.022945691979625336,3.683920728544847
BUILD_DEN,0.10269531607627869,0.00499725090702031,0.0029113790882228986,3.9734581998857976
BUILD_H_MEAN,0.05209747701883316,0.007128175612520681,0.003295494851470693,51.37748814875608
BUILD_H_MAX,0.044825658202171326,0.021508824222302683,0.010382226469079691,60.18408336771115
ROAD_DEN,0.07242359220981598,0.012804601274584956,0.009559835829512775,1.2484879477851958
ELEV_MEAN,0.18546222150325775,0.11906297354559156,0.15840613688881866,1.7740637273723079
POP_DEN_WORLDPOP2020,0.12767808139324188,0.1243120734017653,0.1712097189372682,2.481917458852211
NTL_MEAN,0.09491950273513794,0.06218660351192381,0.09457567175831963,2.5185013721204874
LULC_WATER_COV,0.12113384902477264,0.016236784744616477,0.02670214754195459,1.076356906296116
LULC_TREE_COV,0.12809479236602783,0.04783353786669105,0.04125329982084972,1.8793663311325342
LULC_BUILT_COV,0.33287686109542847,0.5463354894318522,0.5460992467451494,1.9237947656072534
LULC_RANGE_COV,0.0036378526128828526,0.0006434588035938672,0.0005095127913396392,1.0275274847967455
LULC_WETLAND_COV,0.022254442796111107,0.0003186526150278802,0.00036074839652303623,1.0010672264344695
LULC_BARE_COV,0.00468441192060709,0.0,0.0,1.0000953765274552
