fold,train_size,test_size,linear_r2,linear_rmse,linear_mae,rf_r2,rf_rmse,rf_mae
1,79997,20003,0.6428192853927612,1.2250723077881513,0.8890966176986694,0.7788307059499924,0.9640068738524559,0.7258307997538089
2,79998,20002,0.7082452774047852,1.0831649845092817,0.8112343549728394,0.801987159869173,0.8923441240007494,0.6693775562994458
3,80000,20000,0.651174783706665,1.1149712835129306,0.829291820526123,0.7629976445499095,0.9190435091880748,0.6861492239744654
4,80002,19998,0.6335064768791199,1.312158721877165,0.9540503025054932,0.7863182890410357,1.0019288463692195,0.7551560091997093
5,80003,19997,0.6561692357063293,1.203928295332207,0.8948323726654053,0.7635604689752411,0.9983626248312245,0.746024297193092
