fold,train_size,test_size,linear_r2,linear_rmse,linear_mae,rf_r2,rf_rmse,rf_mae
1,80000,20000,0.6976162195205688,0.9784962848267275,0.7432379722595215,0.7931335759011199,0.809328698545136,0.6227828967492144
2,80000,20000,0.7782646417617798,1.000123135614916,0.7451707124710083,0.8462548240907474,0.8327923090088609,0.6322316327828672
3,79999,20001,0.7799539566040039,1.036908721191537,0.7579529285430908,0.8421440948117224,0.8782418582805371,0.6490089201263641
4,80001,19999,0.721709132194519,0.970856099960072,0.7422612309455872,0.800072274485848,0.8228902670034307,0.6232652064066824
5,80000,20000,0.76033616065979,1.0074058126150496,0.766769289970398,0.8300908496566943,0.8482259924573673,0.6492455315610312
