fold,train_size,test_size,linear_r2,linear_rmse,linear_mae,rf_r2,rf_rmse,rf_mae
1,79998,20002,0.6611331701278687,1.0682249106637485,0.823710024356842,0.6993551892020957,1.0061784424110625,0.7780279783990456
2,80002,19998,0.6684269905090332,1.0873690712698407,0.8295679092407227,0.7220380998095053,0.995588786970769,0.766012201572068
3,80002,19998,0.7429059743881226,1.0927667285212117,0.8402343392372131,0.7810399741681668,1.0084721223926063,0.7710418741133673
4,79998,20002,0.7346705198287964,1.0999559632069675,0.8101544380187988,0.7724528510511102,1.0186341256383609,0.7668127435213271
5,80000,20000,0.7182188034057617,1.0325596902510161,0.7916111350059509,0.7664604305762348,0.9400249881515069,0.7194027948237774
