fold,train_size,test_size,linear_r2,linear_rmse,linear_mae,rf_r2,rf_rmse,rf_mae
1,80000,20000,0.6803545355796814,1.1649698906801866,0.9058014750480652,0.7334091862617913,1.0639053701893506,0.821704719211977
2,80000,20000,0.6609246730804443,1.1493405275635984,0.905017077922821,0.6771770135356123,1.121457602158541,0.8762099417963144
3,80000,20000,0.6871567368507385,1.260007045589912,0.9571036100387573,0.7404652661804598,1.1476443903959803,0.863191433650072
4,80000,20000,0.6890081167221069,1.1963818821611945,0.9262186288833618,0.7411701450149077,1.0914465609684496,0.8362388208729324
5,80000,20000,0.6615132093429565,1.2186339885565254,0.9460384845733643,0.7244231415634126,1.099572296445372,0.8451969123352817
