fold,train_size,test_size,linear_r2,linear_rmse,linear_mae,rf_r2,rf_rmse,rf_mae
1,79998,20002,0.7182532548904419,0.9740417601133915,0.7445750832557678,0.7944639308623829,0.8319403246778915,0.6374433604419149
2,80002,19998,0.7338072061538696,0.9742839017494803,0.7431147694587708,0.8039820385144935,0.8360558592735688,0.635176235208699
3,80002,19998,0.7927309274673462,0.981180122948913,0.7519310116767883,0.8465879155072695,0.8441337509733121,0.6417793453132927
4,79998,20002,0.7901881337165833,0.9781321918357215,0.7195154428482056,0.8414450625663493,0.8503004475175951,0.6399526245450958
5,80000,20000,0.7871341705322266,0.8974538643011359,0.693107545375824,0.8463697790186872,0.7624256319415333,0.5843708671687015
