feature,mean_abs_shap
NDBI,0.5032460570979872
LULC_BUILT_COV,0.4338937111770248
NDVI,0.2877735770731019
NTL_MEAN,0.23566185650208876
ELEV_MEAN,0.19740978769567805
NDWI,0.14680789879396855
POP_DEN_LANDSCAN2020,0.10509000848567174
LULC_WATER_COV,0.09798816404031274
LULC_TREE_COV,0.030420651738821563
BUILD_H_MEAN,0.025568530966383427
BUILD_H_MAX,0.016812167406422548
ROAD_DEN,0.016176934250452746
LULC_WETLAND_COV,0.005334398173746593
BUILD_DEN,0.002896642522569061
BUILD_COV,0.0021429061295664986
LULC_RANGE_COV,0.00042384383348802656
