fold,train_size,test_size,linear_r2,linear_rmse,linear_mae,rf_r2,rf_rmse,rf_mae
1,79998,20002,0.6736577749252319,1.0482981104510511,0.788503885269165,0.7704194094113788,0.8792568015313673,0.6693363912394555
2,80002,19998,0.6888662576675415,1.053321405767761,0.7914697527885437,0.7844220626140107,0.876777743259925,0.6653657749623187
3,80002,19998,0.7547110319137573,1.0673834826021456,0.8076465129852295,0.8340602366975258,0.8779235776351266,0.6675172947562912
4,79998,20002,0.7546923160552979,1.057640519241431,0.7856809496879578,0.8285490123672979,0.8842040869128499,0.6641824234651684
5,80000,20000,0.7525032758712769,0.9677070417830133,0.74271559715271,0.8308460547254639,0.8000188621766944,0.6103004858128831
