fold,train_size,test_size,linear_r2,linear_rmse,linear_mae,rf_r2,rf_rmse,rf_mae
1,80000,20000,0.607155442237854,1.5422096413179525,1.1402232646942139,0.6662922332301714,1.4213995898475191,1.055886525417057
2,80000,20000,0.6660256385803223,1.4403664578283244,1.0706746578216553,0.7303652290744793,1.294208810621076,0.9583121747303851
3,80000,20000,0.6449288725852966,1.4515723680832158,1.0865073204040527,0.7172543995968645,1.2953255216764306,0.9709667141106576
4,80000,20000,0.6422501802444458,1.3928151403808215,1.0463703870773315,0.7103348840771432,1.2532907946970253,0.93266961689846
5,80000,20000,0.664186418056488,1.412153989896975,1.0783947706222534,0.7242243033720303,1.2797081426534747,0.9714548599364768
