fold,train_size,test_size,linear_r2,linear_rmse,linear_mae,rf_r2,rf_rmse,rf_mae
1,79999,20001,0.7124791145324707,1.3524128438398926,0.9985249042510986,0.8168558766611578,1.0793718761486994,0.8064560337096943
2,80000,20000,0.6270784139633179,1.514396405480054,1.086793303489685,0.7702131982359722,1.188757704043687,0.854516865592402
3,80001,19999,0.6753429174423218,1.4140236359203067,1.059175968170166,0.7699492480863124,1.1902989561021593,0.8778982937211207
4,80000,20000,0.6535232067108154,1.4207467434060603,1.04414701461792,0.7677239825414524,1.1632734037757884,0.8450896994282054
5,80000,20000,0.5560820698738098,1.698448058993059,1.216090440750122,0.6781493735177286,1.4461991754946462,1.0082321062918984
