feature,mean_abs_shap
NDBI,0.7016975235589855
LULC_BUILT_COV,0.43012070044363965
POP_DEN_WORLDPOP2020,0.37822698844645625
ELEV_MEAN,0.3404672867179842
NDVI,0.21210887599576742
NDWI,0.18993874474368297
NTL_MEAN,0.1557196396806924
LULC_WATER_COV,0.05591510857615731
ROAD_DEN,0.025624198848482427
BUILD_H_MAX,0.025620164296871313
BUILD_H_MEAN,0.024966861247617878
LULC_TREE_COV,0.010567984623397877
LULC_WETLAND_COV,0.008857865061811748
BUILD_COV,0.0061258914901235716
BUILD_DEN,0.004571417136805038
LULC_RANGE_COV,0.00330583819892141
