feature,linear_abs_standardized_coefficient,random_forest_importance,permutation_importance,vif
BUILD_COV,0.1606168895959854,0.001914981582869634,0.00015155124948957878,3.0295661042560367
BUILD_DEN,0.007403165102005005,0.0024129400330608723,0.0008559182184931901,2.1825264320750892
BUILD_H_MEAN,0.01759619265794754,0.006763399562940914,0.0033842001109011255,1.7274176792132871
ROAD_DEN,0.049925532191991806,0.0058846674014041405,0.0010269846440274177,1.3101209267356106
ELEV_MEAN,0.09448697417974472,0.05680434112992898,0.11149469015162057,1.670974206155544
POP_DEN_WORLDPOP2020,0.1419627070426941,0.09658447630121261,0.12900123215403578,1.9080223819277795
NTL_MEAN,0.08613692224025726,0.03715041103761713,0.059676115421405974,1.9022658180714853
NDVI,0.4788411259651184,0.08256236409620239,0.07458291244487417,33.661610568048665
NDBI,0.26178669929504395,0.3950168995439143,0.3506389323017166,2.7985058369704934
NDWI,0.542120635509491,0.051064259078752866,0.05274987495506737,34.898803716777714
LULC_WATER_COV,0.17081549763679504,0.014994368943338119,0.026858170199687326,1.8209192349090155
LULC_TREE_COV,0.08355464041233063,0.024940061892507956,0.03361497839606675,1.852433290018067
LULC_BUILT_COV,0.1639080047607422,0.2188236745772662,0.20682657845924238,2.159690703627621
LULC_RANGE_COV,0.006856818217784166,0.0014116167588906876,0.0008931380651033382,1.0373033008721408
LULC_WETLAND_COV,0.01282187458127737,7.452501045385552e-06,1.7471806731395035e-07,1.0015135631796372
LULC_BARE_COV,0.03961711749434471,0.003664085559047784,0.0014722166869386212,1.0159070330779842
