fold,train_size,test_size,linear_r2,linear_rmse,linear_mae,rf_r2,rf_rmse,rf_mae
1,79999,20001,0.6604810953140259,1.469625171699978,1.0835169553756714,0.8065760111977244,1.1092508538319055,0.8280720640229812
2,80000,20000,0.5874114036560059,1.5929032862795869,1.1661736965179443,0.7539680139918878,1.2300608337660572,0.8792710885126089
3,80001,19999,0.631238579750061,1.5070129013724316,1.141791582107544,0.756726057054479,1.224029884763212,0.9014652499842088
4,80000,20000,0.5883516073226929,1.548612755212448,1.1379210948944092,0.7506818702248528,1.205192841627048,0.8765236727874973
5,80000,20000,0.5047527551651001,1.7939567420192517,1.2941237688064575,0.6661185770131318,1.4729807054930453,1.032117837136512
