feature,linear_abs_standardized_coefficient,random_forest_importance,permutation_importance,vif
BUILD_COV,0.2538793683052063,0.032997374537671514,0.0220278310740472,2.7413205161596452
BUILD_DEN,0.048555582761764526,0.006182528627110618,0.004090115476923983,2.111635443552899
BUILD_H_MEAN,0.0015005692839622498,0.03586343081597401,0.035672251793481005,1.7189862077134017
ROAD_DEN,0.09030348062515259,0.015620446895356098,0.014970657370223106,1.2663224385114664
ELEV_MEAN,0.09360101819038391,0.1000274983102839,0.1936359910588583,1.6629199495292402
POP_DEN_WORLDPOP2020,0.15200772881507874,0.18285525910305234,0.2673334891851814,1.9038541628131243
NTL_MEAN,0.09957098960876465,0.0829687538870525,0.16016349951779976,1.8796861725244443
LULC_WATER_COV,0.21071666479110718,0.05429375016670047,0.08986225223915878,1.114156949269422
LULC_TREE_COV,0.0807095319032669,0.03164037306677754,0.035977235706368224,1.7529146257877932
LULC_BUILT_COV,0.26108893752098083,0.44922291250941004,0.49045411805322664,1.8390192169936912
LULC_RANGE_COV,0.022265147417783737,0.0025174885611161497,0.002207960557183186,1.022292414763499
LULC_WETLAND_COV,0.009110777638852596,6.639663753320867e-05,3.5866719149268976e-05,1.0004847610367815
LULC_BARE_COV,0.053662557154893875,0.0057437868819616615,0.004659836842281995,1.0015712592329389
