fold,train_size,test_size,linear_r2,linear_rmse,linear_mae,rf_r2,rf_rmse,rf_mae
1,79999,20001,0.7126025557518005,1.352122593188729,0.9985081553459167,0.8167586538354974,1.0796583326798062,0.8065695947045625
2,80000,20000,0.6269522905349731,1.5146524514121138,1.0868968963623047,0.7704016884743423,1.188270045069834,0.8541653283033748
3,80001,19999,0.6751836538314819,1.414370339959492,1.059560775756836,0.7698977184475086,1.1904322576464235,0.8780092234483508
4,80000,20000,0.6533944606781006,1.4210106874153972,1.0446319580078125,0.7675553516798191,1.1636955915850402,0.8452541410732402
5,80000,20000,0.5558879375457764,1.6988193086319503,1.2163574695587158,0.6782995141120247,1.4458618163062216,1.0082752929308785
