fold,train_size,test_size,linear_r2,linear_rmse,linear_mae,rf_r2,rf_rmse,rf_mae
1,80000,20000,0.5763232707977295,1.5666716010780273,1.1665736436843872,0.6464375536246334,1.4311782486533948,1.0413423620433546
2,80000,20000,0.5552608966827393,1.6223112015874583,1.195154070854187,0.6606643901776942,1.41708612256775,1.0428879088906293
3,80000,20000,0.6158885955810547,1.538007035426603,1.145151972770691,0.6785000347352454,1.4070844704039616,1.0280307720731126
4,80000,20000,0.594426691532135,1.7182890534022122,1.2691388130187988,0.7001882784983164,1.477358381561817,1.0759817738429183
5,80000,20000,0.5950659513473511,1.564427826828072,1.171892523765564,0.678637372100507,1.3936736271222852,1.0233168950551557
