fold,train_size,test_size,linear_r2,linear_rmse,linear_mae,rf_r2,rf_rmse,rf_mae
1,79999,20001,0.6751250624656677,1.4375823453454928,1.0749530792236328,0.7360163493387628,1.2958750233610932,0.9653182012897411
2,80000,20000,0.5755105018615723,1.6157132122816322,1.1476444005966187,0.656194710471562,1.4540759161950578,1.0224140185642812
3,80001,19999,0.6418091058731079,1.4852566961507676,1.1177952289581299,0.6808679510039857,1.401940023654793,1.0263170426642887
4,80000,20000,0.6277363300323486,1.4726682303267662,1.0892599821090698,0.6997209355355642,1.3226414849234003,0.9805262522129488
5,80000,20000,0.532294511795044,1.7433603213660467,1.2601150274276733,0.5975243618427951,1.6172260528327786,1.1540533351613909
