fold,train_size,test_size,linear_r2,linear_rmse,linear_mae,rf_r2,rf_rmse,rf_mae
1,79999,20001,0.7125966548919678,1.3521364790351682,0.9984672665596008,0.8165809661466108,1.0801816739277104,0.8070102196927702
2,80000,20000,0.6268430948257446,1.5148740658178408,1.0870474576950073,0.7700180010570673,1.1892625043435978,0.8549287227400592
3,80001,19999,0.6748930215835571,1.4150030053851559,1.0600082874298096,0.7695219475084047,1.1914038850552795,0.878533340914933
4,80000,20000,0.6533101797103882,1.421183491327467,1.0447769165039062,0.7678463462236208,1.1629669555032727,0.8446868162044109
5,80000,20000,0.5557961463928223,1.6989950098522384,1.2164703607559204,0.6779626807231063,1.4466185561039224,1.0086077249382204
