feature,linear_abs_standardized_coefficient,random_forest_importance,permutation_importance,vif
BUILD_COV,0.18272806704044342,0.0023440743762940097,0.0005777127802905513,2.920178860175414
BUILD_DEN,0.0038670599460601807,0.0023647617040937186,0.0008223658040009352,2.16319432267115
BUILD_H_MEAN,0.0011298581957817078,0.01641375602171243,0.020435871231246284,1.6801339363057477
ROAD_DEN,0.08545587956905365,0.008320374650016194,0.004226950027741183,1.239660253081913
ELEV_MEAN,0.1619921177625656,0.0838074092227318,0.14953814720250197,1.0919069629405938
POP_DEN_WORLDPOP2020,0.13787959516048431,0.125984394392146,0.20336902817050156,1.904506414869875
NTL_MEAN,0.12029915302991867,0.042533860527816325,0.07716639675478532,1.8413759094674171
NDVI,0.817918062210083,0.05740756671766336,0.06874600136750557,28.05348101477483
NDBI,0.3023735284805298,0.5404272796694202,0.5293590482973581,2.394495343446593
NDWI,0.9774623513221741,0.12039652271810605,0.15111499700774772,26.223045410283703
