fold,train_size,test_size,linear_r2,linear_rmse,linear_mae,rf_r2,rf_rmse,rf_mae
1,80001,19999,0.5314449071884155,1.2973012568385467,0.9330452680587769,0.7065814265359764,1.0266071990221708,0.7706849209794396
2,80001,19999,0.5717145800590515,1.5240195702925752,1.1382018327713013,0.7638173138801971,1.1317432966831145,0.8395519150533531
3,80001,19999,0.6188544034957886,1.3686275200935147,1.0083773136138916,0.7499021362281367,1.1086509271078941,0.8250742991500938
4,79996,20004,0.5265857577323914,1.3489107788815888,0.9863091111183167,0.7027924172415703,1.068790284513269,0.8071249765425078
5,80001,19999,0.5217268466949463,1.4229229429375598,1.0204927921295166,0.7156437473535316,1.097172110558035,0.8145498304643639
