lon,lat,BUILD_COV_0,BUILD_DEN_0,WATER_COV_0,ROAD_DEN_0
105.78354551600896,21.099358420992036,0.0,0.0,0.0,0.0
105.78383433956215,21.099357086334482,0.0,0.0,0.0,0.0
105.78412316309276,21.099355751185158,0.0,0.0,0.0,0.0
105.78441198660074,21.099354415544067,0.0,0.0,0.0,0.0
105.78470081008611,21.099353079411205,0.0,0.0,0.0,0.0
105.78498963354886,21.09935174278658,0.0,0.0,0.0,0.0
105.78527845698896,21.09935040567018,0.0,0.0,0.0,0.0
105.78556728040643,21.09934906806202,0.0,0.0,0.0,0.0
105.78585610380124,21.09934772996209,0.0,0.0,0.0,0.0
105.7861449271734,21.099346391370393,0.0,0.0,0.0,0.0
105.78643375052289,21.099345052286925,0.0,0.0,0.0,0.0
105.7867225738497,21.099343712711697,0.0,0.0,0.0,0.0
105.78701139715382,21.0993423726447,0.0,0.0,0.0,0.0
105.78730022043524,21.09934103208593,0.0,0.0,0.0,0.0
105.78758904369397,21.099339691035404,0.0,0.0,0.0,0.0
105.78787786692999,21.099338349493106,0.0,0.0,0.0,0.0
105.78816669014327,21.099337007459045,0.0,0.0,0.0,0.0
105.78845551333384,21.09933566493322,0.0,0.0,0.0,0.0
105.78874433650168,21.09933432191562,0.0,0.0,0.0,0.0
105.78903315964678,21.099332978406263,0.0,0.0,0.0,0.0
105.78932198276911,21.09933163440514,0.0,0.0,0.0,0.0
105.78961080586869,21.099330289912245,0.0,0.0,0.0,0.0
105.78989962894549,21.09932894492759,0.0,0.0,0.0,0.0
105.79018845199953,21.09932759945117,0.0,0.0,0.0,0.0
105.79047727503077,21.09932625348298,0.0,0.0,0.0,0.0
105.79076609803923,21.099324907023036,0.0,0.0,0.0,0.0
105.79105492102488,21.099323560071326,0.0,0.0,0.0,0.0
105.79134374398772,21.099322212627847,0.0,0.0,0.0,0.0
105.79163256692775,21.099320864692597,0.0,0.0,0.0,0.0
105.79192138984493,21.0993195162656,0.0,0.0,0.0,0.0
105.79221021273929,21.09931816734683,0.0,0.0,0.0,0.0
105.7924990356108,21.099316817936295,0.0,0.0,0.0,0.0
105.79278785845946,21.099315468034,0.0,0.0,0.0,0.0
105.79307668128529,21.09931411763994,0.0,0.0,0.0,0.0
105.7933655040882,21.099312766754114,0.0,0.0,0.0,0.0
105.79365432686826,21.099311415376526,0.0,0.0,0.0,0.0
105.79394314962545,21.099310063507176,0.0,0.0,0.0,0.0
105.79423197235973,21.09930871114607,0.0,0.0,0.0,0.0
